data,size,algo,buildtime,querytime,params,recall
hamming,100K,bruteforce,0.0,0.67138307,,0.32783333333333875
pca32,100K,bruteforce,0.0,0.241730503,,0.2896366666666653
pca96,100K,bruteforce,0.0,0.759213851,,0.4947599999999979
hamming,300K,bruteforce,0.0,1.263814242,,0.3052300000000013
pca32,300K,bruteforce,0.0,0.943047656,,0.25669333333332955
pca96,300K,bruteforce,0.0,2.319330699,,0.4732599999999985
hamming,10M,bruteforce,0.0,48.874640453,,0.2648533333333292
pca32,10M,bruteforce,0.0,40.87269737,,0.19550999999999918
pca96,10M,bruteforce,0.0,108.145233603,,0.42218333333332714
hamming,30M,bruteforce,0.0,138.929293575,,0.2587033333333306
pca32,30M,bruteforce,0.0,130.320416202,,0.18997999999999907
pca96,30M,bruteforce,0.0,331.134282658,,0.4181833333333293
hamming,100M,bruteforce,0.0,529.802799157,,0.26112666666666207
pca32,100M,bruteforce,0.0,438.087344928,,0.19176333333333265
pca96,100M,bruteforce,0.0,1125.559413843,,0.42143999999999643
